year,team,wins,losses,wpct,ortg,eFG%,pb,playoffs,champions
2011,MIL,35,47,0.427,101.6,.467,0.986,0.0,0.0
2011,TOR,22,60,0.268,106.1,.491,0.954,0.0,0.0
2011,BOS,56,26,0.683,106.2,.519,0.946,1.0,0.0
2011,IND,37,45,0.451,104.8,.486,0.957,1.0,0.0
2011,MIA,58,24,0.707,111.7,.524,0.862,1.0,0.0
2011,PHI,41,41,0.500,106.6,.494,0.978,1.0,0.0
2011,NJN,24,58,0.293,103.1,.474,0.942,0.0,0.0
2011,ORL,52,30,0.634,107.9,.521,0.942,1.0,0.0
2011,CHA,34,48,0.415,103.4,.482,0.967,0.0,0.0
2011,WAS,23,59,0.280,102.4,.471,0.958,0.0,0.0
2011,CHI,62,20,0.756,108.3,.501,0.928,1.0,0.0
2011,NYK,42,40,0.512,110.9,.513,0.940,1.0,0.0
2011,DET,30,52,0.366,107.7,.495,0.974,0.0,0.0
2011,ATL,44,38,0.537,106.1,.501,0.945,1.0,0.0
2011,CLE,19,63,0.232,102.2,.472,0.967,0.0,0.0
2011,LAL,57,25,0.695,111.0,.502,0.928,1.0,0.0
2011,LAC,32,50,0.390,105.3,.496,0.955,0.0,0.0
2011,DEN,50,32,0.610,112.3,.526,0.966,1.0,0.0
2011,HOU,43,39,0.524,111.3,.503,0.958,0.0,0.0
2011,OKC,55,27,0.671,111.2,.501,0.904,1.0,0.0
2011,UTA,39,43,0.476,108.1,.498,0.950,0.0,0.0
2011,DAL,57,25,0.695,109.7,.525,0.962,1.0,1.0
2011,POR,48,34,0.585,108.8,.486,0.937,1.0,0.0
2011,MEM,46,36,0.561,107.6,.493,0.954,1.0,0.0
2011,PHO,40,42,0.488,109.5,.522,0.996,0.0,0.0
2011,SAS,61,21,0.744,111.8,.527,0.962,1.0,0.0
2011,SAC,24,58,0.293,103.5,.480,0.988,0.0,0.0
2011,NOH,46,36,0.561,106.2,.493,0.966,1.0,0.0
2011,MIN,17,65,0.207,104.2,.483,0.969,0.0,0.0
2011,GSW,36,46,0.439,108.2,.510,0.923,0.0,0.0
2012,MIL,31,35,0.470,105.5,.481,0.958,0.0,0.0
2012,TOR,23,43,0.348,100.8,.475,0.965,0.0,0.0
2012,BOS,39,27,0.591,101.0,.496,0.939,1.0,0.0
2012,IND,42,24,0.636,106.7,.474,0.965,1.0,0.0
2012,MIA,46,20,0.697,106.6,.505,0.901,1.0,1.0
2012,PHI,35,31,0.530,103.9,.480,0.968,1.0,0.0
2012,NJN,22,44,0.333,102.9,.473,0.947,0.0,0.0
2012,ORL,37,29,0.561,105.0,.506,0.944,1.0,0.0
2012,CHA,7,59,0.106,95.2,.439,0.960,0.0,0.0
2012,WAS,20,46,0.303,101.0,.472,0.967,0.0,0.0
2012,CHI,50,16,0.758,107.4,.490,0.983,1.0,0.0
2012,NYK,36,30,0.545,104.4,.492,0.960,1.0,0.0
2012,DET,25,41,0.379,101.0,.468,0.955,0.0,0.0
2012,ATL,40,26,0.606,104.9,.500,0.951,1.0,0.0
2012,CLE,21,45,0.318,101.1,.463,0.946,0.0,0.0
2012,LAL,41,25,0.621,106.0,.491,0.902,1.0,0.0
